v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,sex,age
4,3,3,2,4,3,2,4,3,3,4,3,3,2,2,1,1,2,1,0,0,1,3,2,4,4,2,3,4,2,4,4,8,4,3,3,3,8,8,1,2,1,3,3,2,4,3,3,1,57
4,4,4,1,4,4,1,4,4,4,4,1,4,1,8,3,1,1,1,0,0,1,1,2,4,4,1,2,4,1,4,4,8,4,3,1,2,8,4,2,3,1,4,4,3,4,4,4,1,55
3,1,4,2,2,3,1,3,3,3,4,3,2,3,4,1,3,4,4,0,0,1,1,4,1,3,2,2,3,3,3,1,8,4,3,4,1,8,1,2,4,4,3,1,8,1,2,1,1,61
1,2,1,3,2,4,2,2,4,2,1,4,2,3,8,2,5,3,3,0,0,2,1,2,1,4,4,4,4,4,4,4,8,4,1,2,2,8,3,4,4,4,2,3,4,4,1,8,1,52
3,3,4,1,4,4,1,4,4,1,4,1,4,1,1,1,1,1,2,4,0,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,60
3,4,4,1,3,4,1,3,4,4,4,1,4,1,3,1,1,2,1,0,0,1,2,1,1,4,4,4,4,4,4,4,8,4,2,4,3,8,2,1,1,4,1,4,1,1,3,1,1,56
4,4,4,2,4,4,1,4,4,4,4,1,4,1,1,1,2,2,2,0,0,2,2,2,1,4,4,8,1,4,4,1,8,4,1,2,1,8,4,4,4,3,2,2,2,1,4,3,1,57
3,3,2,1,3,2,2,3,3,3,3,2,3,3,2,3,2,3,2,0,0,2,2,2,1,4,4,4,4,4,4,4,8,4,1,1,1,8,1,1,2,1,3,2,2,2,1,1,1,58
2,3,1,3,3,4,1,3,4,4,3,3,3,4,1,1,5,5,1,0,0,5,2,3,1,4,4,4,4,4,4,4,8,4,3,2,4,8,8,4,4,4,1,1,4,1,1,1,1,61
4,3,3,2,3,4,1,4,4,3,4,1,3,2,2,1,5,3,1,0,0,2,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,58
3,2,4,1,4,4,1,4,4,4,4,1,4,1,2,1,1,2,1,0,0,1,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,57
4,1,1,2,2,1,2,4,4,1,4,4,2,3,2,2,2,4,4,0,0,5,1,4,1,4,4,4,4,4,4,4,8,4,1,3,1,8,1,4,4,4,2,1,4,1,1,1,1,60
4,4,2,8,2,4,2,4,4,4,4,1,4,2,1,5,2,2,2,0,0,5,2,2,4,4,2,1,4,4,4,1,8,1,4,4,2,8,4,3,4,2,3,3,4,1,2,2,1,59
3,1,3,3,3,4,1,4,4,3,3,1,4,2,1,1,1,1,1,0,0,1,1,4,4,4,4,4,4,4,4,4,8,4,4,3,4,8,8,3,4,1,8,1,1,4,4,1,1,55
4,4,3,2,4,3,2,4,4,3,4,2,3,2,2,1,1,4,1,0,0,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,58
4,1,4,1,4,4,1,4,4,4,4,3,4,1,3,1,3,3,1,0,0,1,2,1,1,4,4,4,4,4,4,4,8,4,1,1,1,8,1,4,4,4,4,3,1,3,4,2,1,53
4,4,4,2,4,4,2,4,4,4,4,2,3,2,8,1,2,1,1,0,0,2,1,1,3,4,3,4,4,3,4,4,8,4,3,3,3,8,4,4,4,4,4,4,4,3,4,3,1,61
3,3,1,3,2,3,3,3,4,3,3,3,2,4,4,5,5,5,4,0,0,5,4,5,1,4,4,4,4,4,4,4,8,4,1,1,1,8,1,4,2,4,2,1,1,1,1,1,1,60
3,2,2,1,4,4,2,4,4,4,4,2,3,3,1,1,2,2,1,0,0,2,1,1,1,1,4,4,4,4,4,4,8,4,1,1,1,8,1,1,4,4,2,2,2,2,4,1,1,61
4,4,3,2,3,4,2,4,4,4,4,2,4,2,1,4,1,2,1,0,0,1,1,1,4,4,2,4,4,4,4,4,8,3,1,3,2,8,4,4,4,2,2,2,3,4,3,3,1,61
3,3,1,2,3,4,2,4,3,2,3,4,3,3,2,2,5,4,2,0,0,2,2,2,1,4,4,3,1,4,4,1,8,1,1,1,1,8,4,2,4,2,2,2,2,1,1,1,1,58
4,4,4,1,4,4,1,4,4,4,4,3,4,1,1,1,3,3,1,0,0,1,1,1,1,4,4,4,4,4,4,4,8,4,3,3,3,8,4,4,1,4,3,2,3,1,3,3,1,61
4,4,4,3,3,4,2,4,4,4,4,2,4,2,2,1,1,4,3,0,0,2,2,1,4,4,4,4,4,2,4,4,8,4,4,4,1,8,1,3,2,1,4,3,3,4,2,1,1,57
3,3,3,3,3,3,2,3,4,3,3,3,3,3,1,1,2,4,1,0,0,2,1,1,1,4,4,4,4,4,4,4,8,4,3,4,4,8,3,2,4,4,2,1,1,1,1,1,1,53
4,4,4,1,4,4,1,4,4,4,4,2,3,1,2,1,1,2,1,0,0,1,2,1,4,4,1,4,4,4,4,4,8,4,1,1,1,8,1,1,4,1,4,4,4,4,4,1,1,57
3,3,1,3,4,3,3,3,3,2,4,4,1,3,2,2,5,5,5,0,0,5,4,5,1,4,4,2,2,4,4,4,8,3,1,2,1,8,8,3,4,3,1,1,4,1,1,1,1,61
3,3,3,3,3,4,1,4,4,4,4,1,4,1,2,1,3,3,3,0,0,1,1,1,4,4,1,3,4,4,4,4,8,4,1,1,1,8,1,1,1,1,4,4,4,4,4,4,1,60
4,4,4,2,4,4,1,4,4,4,4,2,4,2,2,1,4,2,2,0,0,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,52
3,4,3,2,4,4,4,4,4,4,4,2,3,2,1,1,1,1,1,0,0,1,1,1,4,4,2,4,4,4,4,4,8,4,2,1,2,8,4,4,4,2,2,3,2,4,4,4,1,51
4,4,3,1,4,4,2,4,4,4,4,2,3,2,2,4,1,2,1,0,0,1,1,1,4,4,2,3,4,2,4,4,8,4,4,3,4,8,4,1,3,2,4,4,3,4,4,4,1,59
4,3,3,1,4,4,1,3,4,4,4,1,4,1,1,2,2,1,1,0,0,1,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,51
4,4,4,1,3,4,1,4,3,4,4,1,3,1,1,1,1,1,1,0,0,1,1,1,4,4,1,4,4,4,4,4,8,4,1,1,1,8,1,1,3,1,4,4,3,4,4,4,1,61
4,2,2,2,3,4,2,4,4,3,4,1,3,2,2,3,4,2,1,0,0,1,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,59
4,2,1,2,2,3,3,3,4,2,2,4,1,4,1,1,3,3,5,0,0,5,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,51
4,4,3,2,4,4,2,4,4,4,4,3,3,2,1,1,1,2,1,0,0,1,1,1,4,4,4,4,4,4,4,4,8,4,1,1,1,8,2,1,1,1,4,4,2,4,4,2,1,60
4,4,4,1,4,4,1,4,4,3,4,2,2,2,2,1,2,2,1,0,0,1,2,1,4,4,3,1,4,4,4,4,8,4,1,4,1,8,2,1,2,3,3,4,4,2,4,2,1,61
4,4,4,1,4,4,1,4,4,4,4,1,4,1,1,1,1,1,1,0,0,1,1,1,4,4,4,4,1,1,4,1,8,4,1,1,1,8,8,1,4,1,4,4,4,4,4,4,1,58
2,3,2,4,4,4,3,4,4,4,4,4,4,4,1,1,5,1,1,0,0,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,56
4,3,4,1,4,3,3,4,4,4,4,1,4,1,2,3,2,2,2,0,0,2,2,2,2,1,1,4,2,1,4,1,8,1,2,2,1,8,4,1,4,4,4,4,8,2,3,2,1,57
4,4,1,1,4,4,1,4,4,3,3,1,4,1,1,1,2,5,1,0,0,1,1,3,1,4,4,4,4,4,1,4,8,1,4,1,3,8,4,2,4,4,1,1,2,1,1,1,1,58
4,3,4,2,4,4,1,4,4,4,4,1,4,1,2,2,3,2,2,0,0,2,2,1,4,4,1,1,4,4,4,1,8,1,1,1,1,8,1,1,4,1,4,4,4,4,4,4,1,61
4,4,4,1,3,4,1,4,4,4,4,2,4,1,3,4,2,3,1,0,0,1,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,62
4,4,4,1,4,4,1,4,4,4,4,1,4,1,3,4,3,3,3,0,0,4,1,2,2,4,3,4,4,3,4,4,8,4,1,1,1,8,4,1,4,4,4,4,3,2,2,2,1,52
4,4,4,1,4,4,1,4,4,2,1,1,2,1,2,3,3,4,1,0,0,1,3,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,52
4,4,3,2,4,4,2,4,4,4,4,2,4,2,2,1,1,1,1,0,0,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,59
4,4,4,1,4,4,1,4,4,4,4,1,4,1,1,2,1,5,1,0,0,1,1,1,4,4,3,4,4,4,4,4,8,4,2,4,2,8,4,4,4,4,2,1,1,4,1,1,1,52
3,3,3,2,4,3,2,4,3,4,4,3,3,3,1,2,4,4,1,0,0,1,4,4,1,4,4,4,4,4,4,4,8,4,4,1,2,8,8,4,4,4,4,4,4,3,3,4,1,59
4,4,4,1,4,4,1,4,4,4,4,1,4,1,1,2,1,1,1,0,0,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,57
4,4,4,1,4,4,1,4,4,4,4,2,4,3,2,1,2,1,1,0,0,1,1,1,4,4,1,4,4,3,4,4,8,4,1,1,4,8,4,1,4,4,4,4,4,4,4,4,1,60
3,2,3,2,3,4,1,4,4,3,4,3,2,3,1,2,5,2,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,57
3,2,3,2,3,3,2,3,3,2,3,4,2,3,5,2,2,4,2,1,0,1,2,2,3,4,3,4,4,4,4,4,4,4,4,4,2,3,4,4,2,4,2,1,3,2,1,1,1,70
4,4,4,1,4,4,1,4,4,4,4,2,4,1,1,1,2,1,1,2,0,1,1,1,4,4,2,4,4,2,4,4,4,4,3,2,2,3,4,1,2,2,4,4,3,3,4,4,1,67
3,4,3,2,3,3,2,3,4,4,4,2,3,3,2,3,2,2,2,1,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,53
4,3,4,2,4,4,1,4,4,3,1,4,1,2,1,1,5,4,1,2,0,1,1,1,1,4,2,4,4,4,4,4,4,4,1,1,2,4,4,4,4,4,1,1,1,2,1,1,1,55
4,4,4,2,4,4,1,4,4,4,4,1,4,4,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,59
4,3,3,1,4,4,1,4,4,1,4,1,4,3,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,73
4,4,4,1,4,4,2,1,1,1,1,2,4,2,1,2,1,2,2,1,0,1,1,1,4,4,3,4,4,2,4,4,4,4,3,4,3,2,3,3,4,2,4,4,3,3,3,1,1,65
4,4,4,1,4,3,2,4,4,4,4,2,4,2,1,2,1,2,2,1,3,1,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,54
4,4,3,3,4,4,2,4,4,3,4,4,3,2,2,3,4,3,2,1,0,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,1,3,2,1,1,1,1,60
4,4,4,1,4,4,1,4,4,4,4,2,4,2,1,1,1,2,1,1,0,1,1,1,1,4,3,4,4,4,4,4,4,4,1,1,1,1,4,1,4,1,3,3,3,4,4,4,1,64
4,4,4,2,4,4,1,4,4,4,4,2,3,1,1,2,1,1,2,1,0,2,2,1,4,4,4,4,4,2,4,4,4,4,2,3,3,2,3,4,4,2,4,4,3,4,4,4,1,68
3,4,3,2,3,3,2,3,4,4,4,3,4,2,1,2,1,1,1,2,0,2,2,1,4,4,4,4,4,2,4,4,4,4,1,1,1,2,3,4,4,2,4,4,3,4,4,4,1,60
3,4,3,2,4,4,2,4,4,3,4,4,3,3,1,1,4,2,2,1,0,1,2,2,1,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,2,2,2,1,3,2,1,61
4,4,3,1,4,3,2,4,4,3,4,3,3,3,3,3,4,5,1,4,0,3,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,63
3,4,3,2,4,4,1,4,4,4,4,2,3,2,1,1,1,1,1,1,2,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,63
4,3,3,2,3,4,2,4,4,4,3,2,3,3,1,1,2,1,1,2,0,2,1,2,4,4,1,1,4,1,4,1,4,2,1,4,1,1,4,1,1,1,4,4,4,4,4,4,1,51
4,4,3,2,4,4,1,4,4,4,4,3,3,3,1,1,1,1,1,1,0,1,2,1,4,4,3,2,4,4,4,4,4,4,1,3,1,4,1,1,4,2,4,4,3,4,4,2,1,68
4,4,4,2,4,4,1,4,3,4,4,2,4,1,1,1,1,2,2,1,0,1,2,1,4,4,2,2,4,4,4,4,4,4,2,2,2,1,3,2,4,1,3,2,3,4,4,3,1,61
3,4,4,2,4,3,1,3,4,4,4,1,4,1,2,1,2,1,1,1,0,1,2,2,3,4,4,3,4,4,4,4,4,4,1,1,1,1,2,1,4,4,4,4,2,2,2,1,1,66
4,4,3,1,4,4,1,4,4,4,4,1,4,1,1,2,1,1,1,1,0,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,4,1,4,4,4,4,4,4,1,66
4,3,3,2,3,4,2,4,4,3,4,3,3,2,3,3,1,3,4,3,4,2,3,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,58
4,4,4,1,4,4,1,4,4,4,4,1,4,1,2,4,2,2,2,1,0,1,2,2,3,4,4,4,4,1,4,1,4,4,1,1,1,1,3,1,3,4,4,4,2,4,4,2,1,62
4,3,3,2,4,4,2,4,4,3,4,3,4,4,1,1,2,2,1,2,0,1,2,2,2,4,3,4,4,4,4,4,4,4,4,3,3,3,4,1,3,2,4,4,3,4,3,3,1,63
4,4,3,2,3,4,2,4,4,4,3,3,3,3,1,2,1,1,1,1,0,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,69
4,1,2,1,4,4,1,4,4,3,3,4,1,4,1,1,5,2,1,1,0,1,1,1,1,4,4,4,4,4,4,4,4,4,1,2,1,2,4,2,2,2,2,1,4,1,2,2,1,55
3,3,3,2,3,3,1,3,3,3,4,2,3,3,2,1,2,1,2,2,0,2,1,2,1,4,4,4,4,4,4,4,4,4,1,3,1,2,1,4,1,4,4,4,3,2,3,2,1,63
4,4,3,1,4,4,1,4,4,4,4,1,3,1,1,1,1,2,1,1,2,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,61
4,4,4,1,4,4,1,4,4,4,4,2,4,2,1,3,1,1,1,1,0,1,1,1,4,4,2,4,4,4,4,4,4,4,1,1,2,2,4,1,2,2,4,4,2,4,4,3,1,58
3,3,3,1,4,4,1,4,4,4,4,1,3,1,1,1,1,1,1,1,0,1,5,1,4,4,1,1,4,1,4,4,4,4,1,4,1,1,3,2,4,1,4,4,4,4,4,4,1,60
3,4,3,1,4,4,1,4,4,4,4,1,3,1,1,1,2,2,1,1,0,1,1,1,3,3,1,4,4,2,4,4,4,4,1,1,1,1,2,1,1,1,4,4,4,4,2,1,1,66
4,4,4,1,4,4,1,4,4,4,4,1,3,2,1,1,2,2,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,62
4,2,2,1,4,4,1,4,4,2,4,4,1,3,1,1,5,3,2,1,0,2,2,1,1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,8,1,3,1,1,63
4,8,3,2,4,4,2,3,4,4,3,3,3,2,3,3,3,2,1,1,0,1,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,8,4,4,4,4,4,4,1,4,4,1,67
4,3,3,3,4,4,1,4,4,3,3,4,3,1,3,1,2,3,1,1,0,1,2,1,1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,1,1,4,4,4,1,1,4,1,73
4,4,4,1,3,4,2,4,4,4,4,2,4,1,2,1,2,3,2,1,0,1,1,1,4,4,1,2,3,2,4,2,3,2,1,2,1,1,2,2,4,2,4,4,2,4,3,4,1,64
4,4,4,2,4,4,1,4,4,4,4,3,4,1,1,1,2,2,1,1,0,1,1,1,4,4,4,4,4,3,4,4,4,4,2,3,1,1,4,2,4,2,4,4,3,2,1,2,1,73
3,1,4,2,4,4,2,4,4,1,4,4,4,3,1,1,5,4,1,1,0,1,1,1,1,1,4,4,4,4,4,4,4,4,1,3,3,3,3,3,1,3,4,1,2,1,3,2,1,58
4,4,4,1,4,4,1,4,4,4,4,2,4,1,1,1,1,1,1,1,0,1,1,1,4,4,2,2,4,2,4,4,4,4,2,3,2,2,2,3,4,3,4,4,3,4,4,3,1,59
4,4,4,1,4,4,1,4,4,4,4,2,3,2,1,1,1,1,1,1,0,1,1,1,4,4,2,3,4,4,4,4,4,4,1,1,1,1,1,1,4,1,4,4,3,4,4,3,1,66
4,4,4,2,4,4,2,4,4,4,4,1,4,2,1,1,1,1,1,1,0,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,4,1,3,1,4,4,3,4,4,4,1,59
4,3,2,1,4,4,1,4,4,3,4,3,3,3,2,1,2,3,1,1,0,1,1,1,4,4,1,4,4,4,4,4,4,4,2,3,1,2,4,2,4,1,4,4,4,4,3,2,1,58
4,4,4,2,4,4,2,4,4,4,4,2,3,2,2,1,3,2,2,1,0,4,2,2,4,4,1,3,4,2,4,4,2,4,2,2,2,2,3,3,3,1,4,4,3,1,3,1,1,64
4,4,4,1,4,4,1,4,4,4,4,1,4,1,2,1,1,2,1,1,0,2,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,57
4,4,3,1,4,4,1,4,4,4,4,1,4,1,1,2,1,1,1,1,0,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,1,74
3,4,4,2,3,4,2,3,4,4,4,2,3,3,1,1,1,1,1,1,0,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,51
4,4,4,2,4,4,2,4,4,3,4,2,4,1,2,1,3,3,1,1,4,1,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,52
4,4,1,1,4,4,1,4,4,4,4,2,4,3,1,2,1,2,1,0,1,1,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,52
4,4,3,1,4,3,1,4,4,4,4,1,4,3,1,1,1,1,1,1,0,1,1,1,4,4,1,4,4,1,4,1,4,1,1,1,1,1,1,1,1,1,4,4,3,4,4,4,1,63
3,4,4,1,3,4,1,3,4,4,4,1,4,1,1,1,1,2,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,55
3,4,3,4,4,4,1,3,4,3,4,3,3,2,1,1,2,5,1,2,0,2,2,2,1,3,4,4,4,4,4,4,4,4,4,2,4,1,1,1,4,1,4,3,2,2,1,1,1,67
4,4,4,1,4,4,1,4,4,4,4,1,4,1,1,1,1,1,1,1,0,1,1,1,4,4,4,4,1,4,4,4,4,1,1,1,1,1,1,1,4,1,4,4,3,4,4,4,1,65
4,4,4,2,3,4,1,3,4,4,4,2,3,3,4,4,1,2,2,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,51
4,4,3,2,4,4,1,4,4,4,4,1,4,2,8,1,1,1,1,1,0,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,58
4,4,4,1,4,4,1,4,4,4,4,1,4,1,1,1,1,1,1,1,0,1,1,1,4,4,1,4,4,2,4,4,4,4,1,1,1,3,1,1,4,3,4,4,4,4,4,4,1,51
4,4,4,1,4,4,1,4,4,4,4,1,4,1,1,1,1,1,1,1,0,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,3,1,1,4,4,4,4,4,1,4,4,3,1,62
1,1,4,4,4,4,1,4,8,3,3,1,1,1,2,2,5,5,2,1,0,3,2,3,1,4,4,4,4,4,4,4,4,4,8,4,8,8,8,8,8,8,1,1,1,1,1,1,1,53
4,4,4,2,4,3,2,4,4,4,4,2,4,1,1,1,1,1,1,1,1,1,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,65
